name,date,annee,mois,developer,genres,price,owners,owners_min,nb_avis,ratio_pos,petit_studio,fetes,succes_com,succes_critique,periode_etude,appid,free
Rag Doll Kung Fu,2005-10-12,2005,10,Mark Healey,Indie,6.83,20000-50000,20000,57,0.702,True,False,False,False,False,1002,False
Darwinia,2005-07-14,2005,7,Introversion Software,Indie;Strategy,8.2,500000-1000000,500000,630,0.749,True,False,True,False,False,1500,False
Uplink,2006-08-23,2006,8,Introversion Software,Indie;Strategy,7.97,500000-1000000,500000,1754,0.913,True,False,True,True,False,1510,False
DEFCON,2006-09-29,2006,9,Introversion Software,Indie;Strategy,8.2,500000-1000000,500000,2401,0.857,True,False,True,True,False,1520,False
Multiwinia,2008-09-19,2008,9,Introversion Software,Indie,8.2,500000-1000000,500000,443,0.831,True,False,True,True,False,1530,False
The Ship: Murder Party,2006-07-11,2006,7,Outerlight Ltd.,Action;Indie;RPG,0.0,1000000-2000000,1000000,5611,0.859,True,False,True,True,False,2400,True
Gumboy - Crazy Adventures™,2006-12-19,2006,12,"CINEMAX, s.r.o.",Casual;Indie,0.0,50000-100000,50000,98,0.531,True,True,True,False,False,2520,True
ThreadSpace: Hyperbol,2007-07-12,2007,7,Iocaine Studios,Action;Indie;Strategy,4.55,20000-50000,20000,40,0.775,True,False,False,False,False,2720,False
Poker Superstars II,2006-10-05,2006,10,Funkitron,Casual;Strategy;Indie,6.83,0-20000,0,9,0.444,True,False,False,False,False,4100,False
RoboBlitz,2006-11-07,2006,11,Naked Sky Entertainment,Action;Indie,6.83,20000-50000,20000,57,0.754,True,True,False,False,False,4300,False
Zen of Sudoku,2006-12-14,2006,12,Unknown Worlds Entertainment,Casual;Indie,0.0,0-20000,0,139,0.878,True,True,False,True,False,4900,True
Natural Selection 2,2012-10-30,2012,10,Unknown Worlds Entertainment,Action;Indie;Strategy,7.97,1000000-2000000,1000000,9870,0.848,True,False,True,True,False,4920,False
Shank,2010-10-25,2010,10,Klei Entertainment,Action;Indie,8.2,200000-500000,200000,1976,0.885,True,False,True,True,False,6120,False
Nexus - The Jupiter Incident,2007-07-03,2007,7,Mithis Games;THQ Nordic,Indie;Simulation;Strategy,7.97,50000-100000,50000,564,0.84,True,False,True,True,False,6420,False
Azada,2010-04-21,2010,4,Big Fish Games,Casual;Indie,7.97,0-20000,0,12,0.667,True,False,False,False,False,7340,False
Gish,2007-07-20,2007,7,Cryptic Sea,Indie,6.83,200000-500000,200000,254,0.63,True,False,True,False,False,9500,False
Gumboy Tournament,2008-05-19,2008,5,"CINEMAX, s.r.o.",Casual;Indie;Racing,2.04,50000-100000,50000,493,0.712,True,False,True,False,False,11230,False
Space Trader: Merchant Marine,2008-10-23,2008,10,Meridian4,Action;Indie;Strategy,4.55,200000-500000,200000,609,0.491,True,False,True,False,False,11240,False
Penguins Arena: Sedna's World,2008-12-18,2008,12,Frogames,Action;Casual;Indie,5.46,100000-200000,100000,1031,0.875,True,True,True,True,False,11280,False
Obulis,2009-03-19,2009,3,IonFX,Casual;Indie,4.55,100000-200000,100000,716,0.818,True,False,True,True,False,11330,False
Larva Mortus,2009-03-19,2009,3,Meridian4,Action;Indie,4.55,100000-200000,100000,684,0.765,True,False,True,False,False,11340,False
Chains,2009-07-01,2009,7,2DEngine.com,Indie,4.55,100000-200000,100000,581,0.745,True,False,True,False,False,11360,False
Ninja Reflex: Steamworks Edition,2008-03-21,2008,3,Sanzaru Games,Casual;Indie,4.55,0-20000,0,52,0.923,True,False,False,True,False,13000,False
Harvest: Massive Encounter,2009-01-23,2009,1,Oxeye Game Studio,Strategy;Indie,6.6,20000-50000,20000,110,0.809,True,False,False,True,False,15400,False
The Wonderful End of the World,2008-07-17,2008,7,"Dejobaan Games, LLC",Indie;Casual,7.97,100000-200000,100000,537,0.749,True,False,True,False,False,15500,False
AaAaAA!!! - A Reckless Disregard for Gravity,2009-09-03,2009,9,"Dejobaan Games, LLC",Action;Indie;Sports,7.97,100000-200000,100000,650,0.842,True,False,True,True,False,15520,False
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,2011-11-23,2011,11,"Dejobaan Games, LLC;Owlchemy Labs",Action;Indie;Sports,7.97,200000-500000,200000,999,0.748,True,True,True,False,False,15560,False
Planet Busters,2008-06-30,2008,6,Slam,Indie;Casual,6.83,0-20000,0,2,0.5,True,False,False,False,False,15800,False
Chaos Theory,2008-05-22,2008,5,blurredVision,Casual;Indie,2.27,0-20000,0,11,0.909,True,False,False,False,False,16500,False
Trials 2: Second Edition,2008-05-28,2008,5,Redlynx,Indie;Racing;Sports,6.83,50000-100000,50000,202,0.837,True,False,True,True,False,16600,False
Monster Trucks Nitro ,2009-01-29,2009,1,Redlynx Ltd,Indie;Racing;Sports,19.37,0-20000,0,34,0.618,True,False,False,False,False,16620,False
GROUND BRANCH,2018-08-14,2018,8,BlackFoot Studios,Action;Indie;Early Access,17.66,20000-50000,20000,742,0.807,True,False,False,True,False,16900,False
Zombie Panic! Source,2008-10-03,2008,10,Zombie Panic Team,Action;Free to Play;Indie,0.0,500000-1000000,500000,6181,0.852,True,False,True,True,False,17500,True
"Pirates, Vikings, and Knights II",2010-02-12,2010,2,Octoshark Studios,Action;Free to Play;Indie,0.0,500000-1000000,500000,4421,0.868,True,False,True,True,False,17570,True
Unstoppable Gorg,2012-01-19,2012,1,Futuremark,Action;Casual;Indie;Strategy,7.97,50000-100000,50000,238,0.798,True,False,True,False,False,18120,False
Spectraball,2008-10-20,2008,10,Shorebound Studios,Casual;Indie,4.55,50000-100000,50000,398,0.746,True,False,True,False,False,18300,False
Defense Grid: The Awakening,2008-12-08,2008,12,Hidden Path Entertainment,Indie;Strategy,7.97,500000-1000000,500000,3420,0.967,True,True,True,True,False,18500,False
Mayhem Intergalactic,2009-01-22,2009,1,Inventive Dingo,Indie;Strategy,7.97,0-20000,0,22,0.545,True,False,False,False,False,18600,False
And Yet It Moves,2009-04-02,2009,4,Broken Rules,Action;Indie,7.97,200000-500000,200000,1062,0.692,True,False,True,False,False,18700,False
Zero Gear,2010-01-12,2010,1,Brian Cronin,Action;Indie;Racing;Sports,4.55,100000-200000,100000,825,0.79,True,False,True,False,False,18820,False
Tank Universal,2008-08-21,2008,8,Dialogue Design,Action;Indie,4.55,100000-200000,100000,416,0.543,True,False,True,False,False,19200,False
Space Ark,2012-03-16,2012,3,Strawdog Studios Ltd,Action;Indie;Casual,4.55,0-20000,0,14,0.429,True,False,False,False,False,19320,False
Eternity's Child,2008-07-31,2008,7,Luc Bernard;SilverSphereStudios,Adventure;Indie,3.41,0-20000,0,63,0.254,True,False,False,False,False,19500,False
Galactic Bowling,2008-10-21,2008,10,Perpetual FX Creative,Indie;Casual;Sports,15.95,0-20000,0,16,0.375,True,False,False,False,False,20200,False
Starscape,2008-11-03,2008,11,Moonpod,Action;Indie;Strategy,6.83,0-20000,0,65,0.769,True,True,False,False,False,20700,False
Mr. Robot,2008-11-03,2008,11,Moonpod,Action;Indie;Strategy,6.83,20000-50000,20000,67,0.821,True,True,False,True,False,20710,False
Shatter,2010-03-15,2010,3,Sidhe,Action;Indie,7.97,200000-500000,200000,1027,0.938,True,False,True,True,False,20820,False
Gravitron 2,2008-09-30,2008,9,Dark Castle Software,Indie;Casual,3.41,0-20000,0,27,0.704,True,False,False,False,False,21300,False
Project Aftermath,2008-10-03,2008,10,Games Faction,Strategy;Action;Indie,5.46,0-20000,0,15,0.667,True,False,False,False,False,21400,False
World of Goo,2008-10-13,2008,10,2D BOY,Indie,7.97,1000000-2000000,1000000,3692,0.936,True,False,True,True,False,22000,False
Mount & Blade,2008-11-03,2008,11,TaleWorlds Entertainment,Indie;RPG,9.11,1000000-2000000,1000000,3496,0.917,True,True,True,True,False,22100,False
Penumbra: Black Plague Gold Edition,2009-01-23,2009,1,Frictional Games,Nudity;Gore;Action;Adventure;Indie,0.0,200000-500000,200000,1475,0.946,True,False,True,True,False,22120,True
Penumbra Overture,2009-03-06,2009,3,Frictional Games,Gore;Action;Adventure;Indie,0.0,500000-1000000,500000,1824,0.91,True,False,True,True,False,22180,True
Zeno Clash,2009-04-21,2009,4,ACE Team,Action;Indie,7.97,200000-500000,200000,2336,0.848,True,False,True,True,False,22200,False
Fluttabyes,2010-04-20,2010,4,Red Chain Games Ltd.,Casual;Indie,1.81,0-20000,0,18,0.722,True,False,False,False,False,23150,False
Depths of Peril,2010-11-23,2010,11,Soldak Entertainment,Indie;RPG;Strategy,7.97,20000-50000,20000,93,0.742,True,True,False,False,False,23600,False
Aquaria,2008-12-15,2008,12,"Bit Blot, LLC",Indie,7.97,200000-500000,200000,1141,0.883,True,True,True,True,False,24420,False
Overgrowth,2017-10-16,2017,10,Wolfire Games,Action;Indie,26.21,500000-1000000,500000,4515,0.709,True,False,True,False,True,25000,False
Lugaru HD,2010-10-08,2010,10,Wolfire Games,Action,9.11,100000-200000,100000,419,0.766,True,False,True,False,False,25010,False
Cricket Revolution,2009-10-28,2009,10,Mindstorm Studios,Indie;Simulation;Sports,2.27,20000-50000,20000,113,0.558,True,False,False,False,False,25500,False
Eschalon: Book I,2009-02-10,2009,2,Basilisk Games,Indie;RPG,0.0,50000-100000,50000,192,0.87,True,False,True,True,False,25600,True
Eschalon: Book II,2010-07-12,2010,7,Basilisk Games,Indie;RPG,5.46,20000-50000,20000,70,0.829,True,False,False,True,False,25620,False
Madballs in Babo:Invasion ,2009-09-17,2009,9,Playbrains,Indie,4.55,50000-100000,50000,236,0.839,True,False,True,True,False,25700,False
The Maw,2009-03-09,2009,3,Twisted Pixel Games,Action;Indie,10.25,50000-100000,50000,197,0.817,True,False,True,True,False,26000,False
Drug Wars,2009-03-17,2009,3,Paleo Entertainment,Action;Indie,4.55,0-20000,0,44,0.295,True,False,False,False,False,26300,False
Braid,2009-04-10,2009,4,Number None,Casual;Indie;Strategy,12.53,1000000-2000000,1000000,6915,0.944,True,False,True,True,False,26800,False
Crayon Physics Deluxe,2009-05-06,2009,5,Kloonigames,Casual;Indie,18.23,500000-1000000,500000,777,0.86,True,False,True,True,False,26900,False
The Path,2009-03-18,2009,3,Tale of Tales,Adventure;Indie,7.97,100000-200000,100000,679,0.739,True,False,True,False,False,27000,False
The Graveyard,2009-03-09,2009,3,Tale of Tales,Indie;Simulation,4.55,20000-50000,20000,504,0.605,True,False,False,False,False,27020,False
Fatale,2009-11-04,2009,11,Tale of Tales,Adventure;Casual;Indie,5.69,0-20000,0,97,0.546,True,True,False,False,False,27050,False
Dangerous High School Girls in Trouble!™,2009-02-23,2009,2,Mousechief,RPG;Indie;Casual,17.09,100000-200000,100000,174,0.638,True,False,True,False,False,27400,False
Mevo and The Grooveriders,2009-03-20,2009,3,Red Rocket Games,Indie;Casual,6.83,0-20000,0,25,0.92,True,False,False,False,False,27600,False
Space Giraffe,2009-03-19,2009,3,Llamasoft LTD,Indie,7.97,20000-50000,20000,53,0.679,True,False,False,False,False,27800,False
Gridrunner Revolution,2010-02-22,2010,2,Llamasoft LTD,Indie,6.83,20000-50000,20000,45,0.8,True,False,False,False,False,27810,False
Booster Trooper,2010-04-23,2010,4,DnS Development,Action;Indie,1.93,20000-50000,20000,185,0.492,True,False,False,False,False,27920,False
Dead Horde,2011-07-27,2011,7,DnS Development,Action;Indie,5.46,50000-100000,50000,612,0.337,True,False,True,False,False,27940,False
Yumsters 2: Around the World,2009-11-12,2009,11,KranX Productions,Indie;Casual,4.55,20000-50000,20000,79,0.671,True,True,False,False,False,29120,False
Musaic Box,2009-03-19,2009,3,KranX Productions,Indie;Casual,4.55,20000-50000,20000,190,0.937,True,False,False,True,False,29130,False
Blueberry Garden,2009-06-01,2009,6,Erik Svedäng,Adventure;Indie,4.55,20000-50000,20000,124,0.774,True,False,False,False,False,29160,False
Osmos,2009-08-18,2009,8,Hemisphere Games,Indie;Casual,7.97,500000-1000000,500000,962,0.891,True,False,True,True,False,29180,False
Caster,2009-03-19,2009,3,Elecorn,Action;Adventure;Casual;Indie;RPG;Strategy,1.13,200000-500000,200000,4145,0.791,True,False,True,False,False,29800,False
Raycatcher,2009-04-17,2009,4,Thinking Studios;Slam Dunk Studios,Indie;Casual,4.55,0-20000,0,13,0.0,True,False,False,False,False,32000,False
Everyday Genius: SquareLogic,2009-10-21,2009,10,TrueThought,Casual;Indie;Strategy,4.55,0-20000,0,309,0.981,True,False,False,True,False,32150,False
Metal Drift,2009-10-22,2009,10,Black Jacket Studios,Action;Indie;Racing;Sports,7.97,20000-50000,20000,126,0.643,True,False,False,False,False,32200,False
Restaurant Empire II,2009-05-27,2009,5,Enlight Software Limited,Casual;Indie;Simulation;Strategy,15.95,50000-100000,50000,177,0.633,True,False,True,False,False,32900,False
Alien Shooter,2009-05-27,2009,5,Sigma Team Inc.,Action;Indie;RPG,4.55,200000-500000,200000,907,0.899,True,False,True,True,False,33100,False
Alien Shooter: Revisited,2009-05-27,2009,5,Sigma Team Inc.,Action;Indie;RPG,4.55,200000-500000,200000,229,0.655,True,False,True,False,False,33110,False
Alien Shooter 2: Reloaded,2009-05-27,2009,5,Sigma Team Inc.,Action;Indie;RPG,4.55,200000-500000,200000,1079,0.922,True,False,True,True,False,33120,False
Zombie Shooter,2009-05-27,2009,5,Sigma Team Inc.,Action;Indie;RPG,4.55,100000-200000,100000,483,0.849,True,False,True,True,False,33130,False
Zombie Shooter 2,2009-11-18,2009,11,Sigma Team Inc.,Action;Indie;RPG,8.2,100000-200000,100000,376,0.774,True,True,True,False,False,33180,False
Ziro,2010-05-28,2010,5,Kokakiki,Casual;Indie,5.69,0-20000,0,28,0.75,True,False,False,False,False,33660,False
eversion,2010-06-07,2010,6,Zaratustra Productions,Indie,4.55,50000-100000,50000,1047,0.912,True,False,True,True,False,33680,False
Light of Altair,2009-06-04,2009,6,SaintXi,Indie;Simulation;Strategy,13.67,20000-50000,20000,38,0.816,True,False,False,False,False,34500,False
Bad Rats: the Rats' Revenge,2009-07-20,2009,7,Invent4 Entertainment,Indie,0.9,200000-500000,200000,13446,0.778,True,False,True,False,False,34900,False
Razor2: Hidden Skies,2010-07-19,2010,7,Invent4 Entertainment,Action;Casual;Indie,7.97,50000-100000,50000,203,0.241,True,False,True,False,False,34920,False
The Ball,2010-10-26,2010,10,Teotl Studios,Action;Adventure;Indie,7.97,200000-500000,200000,816,0.743,True,False,True,False,False,35460,False
Dwarfs!?,2011-05-04,2011,5,Power of 2,Strategy;Indie;Casual,9.11,200000-500000,200000,796,0.778,True,False,True,False,False,35480,False
Trine Enchanted Edition,2009-07-02,2009,7,Frozenbyte,Action;Adventure;Indie,11.39,1000000-2000000,1000000,9855,0.959,True,False,True,True,False,35700,False
Trine 2: Complete Story,2013-06-06,2013,6,Frozenbyte,Action;Adventure;Indie,15.95,2000000-5000000,2000000,17075,0.959,True,False,True,True,False,35720,False
BRAINPIPE: A Plunge to Unhumanity,2009-07-06,2009,7,Digital Eel,Casual;Indie,0.0,50000-100000,50000,148,0.851,True,False,True,True,False,35800,True
Foreign Legion: Buckets of Blood,2009-08-04,2009,8,Sakari Indie,Action;Indie,4.55,50000-100000,50000,295,0.624,True,False,True,False,False,36000,False
Aztaka,2009-11-05,2009,11,Citeremis Inc.,Action;RPG;Indie,4.55,20000-50000,20000,133,0.707,True,True,False,False,False,37100,False
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-08-25,2009,8,Size Five Games,Adventure;Indie,3.41,200000-500000,200000,612,0.807,True,False,True,True,False,37400,False
Magnetis ,2009-11-05,2009,11,Yullaby,Indie;Casual,1.7,0-20000,0,42,0.786,True,True,False,False,False,37500,False
Windosill,2009-09-25,2009,9,Vectorpark,Adventure;Casual;Indie,2.27,100000-200000,100000,906,0.906,True,False,True,True,False,37600,False
Quantz,2009-09-03,2009,9,Gamerizon,Indie;Casual,9.11,20000-50000,20000,37,0.649,True,False,False,False,False,37800,False
Faerie Solitaire,2010-09-17,2010,9,Subsoap,Casual;Indie,7.97,200000-500000,200000,2354,0.912,True,False,True,True,False,38600,False
Toki Tori,2010-01-28,2010,1,Two Tribes,Casual;Indie,4.55,200000-500000,200000,1886,0.88,True,False,True,True,False,38700,False
RUSH,2010-12-03,2010,12,Two Tribes,Casual;Indie;Strategy,4.55,200000-500000,200000,1186,0.901,True,True,True,True,False,38720,False
EDGE,2011-08-11,2011,8,Two Tribes,Action;Indie,5.69,200000-500000,200000,1862,0.921,True,False,True,True,False,38740,False
Nation Red,2009-09-03,2009,9,DiezelPower,Action;Indie,2.04,200000-500000,200000,2365,0.885,True,False,True,True,False,39800,False
AI War: Fleet Command,2009-10-21,2009,10,"Arcen Games, LLC",Indie;Strategy,7.97,200000-500000,200000,1314,0.844,True,False,True,True,False,40400,False
Tidalis,2010-07-16,2010,7,"Arcen Games, LLC",Casual;Indie,4.55,100000-200000,100000,196,0.663,True,False,True,False,False,40420,False
Sacraboar,2009-11-06,2009,11,Makivision Games,Action;Strategy;Indie,2.38,20000-50000,20000,56,0.25,True,True,False,False,False,40500,False
Machinarium,2009-10-16,2009,10,Amanita Design,Adventure;Indie,9.11,500000-1000000,500000,5701,0.954,True,False,True,True,False,40700,False
Samorost 2,2009-12-10,2009,12,Amanita Design,Adventure;Casual;Indie,4.55,200000-500000,200000,865,0.828,True,True,True,True,False,40720,False
Hammerfight,2009-10-28,2009,10,Konstantin Koshutin,Action;Indie,4.55,200000-500000,200000,1565,0.672,True,False,True,False,False,41100,False
Altitude,2009-12-04,2009,12,Nimbly Games,Action;Free to Play;Indie,0.0,200000-500000,200000,1668,0.923,True,True,True,True,False,41300,True
Doom Rails,2009-11-04,2009,11,"Dream Forge Entertainment, LLC",Action;Indie,2.27,0-20000,0,28,0.286,True,True,False,False,False,41400,False
Tommy Tronic,2010-10-28,2010,10,Oasis Games,Action;Adventure;Indie,7.97,0-20000,0,14,0.5,True,False,False,False,False,41660,False
Death and the Fly,2011-05-23,2011,5,Independent Programmist Group,Indie,7.97,0-20000,0,12,0.25,True,False,False,False,False,41680,False
Gratuitous Space Battles,2009-11-16,2009,11,Positech Games,Indie;Simulation;Strategy,12.53,500000-1000000,500000,673,0.75,True,True,True,False,False,41800,False
Trino,2011-01-27,2011,1,Trinoteam,Casual;Indie,3.98,0-20000,0,14,0.643,True,False,False,False,False,42000,False
Hamilton's Great Adventure,2011-05-31,2011,5,Fatshark,Adventure;Casual;Indie,7.97,100000-200000,100000,252,0.671,True,False,True,False,False,42140,False
Krater,2012-06-12,2012,6,Fatshark,Action;Adventure;Indie;RPG;Strategy,12.53,100000-200000,100000,758,0.566,True,False,True,False,False,42170,False
DogFighter,2010-06-14,2010,6,Dark Water Studios Ltd,Action;Indie,2.27,200000-500000,200000,384,0.604,True,False,True,False,False,42500,False
The Haunted: Hells Reach,2011-10-24,2011,10,KTX Software,Action;Indie,6.83,50000-100000,50000,588,0.862,True,False,True,True,False,43190,False
Super Laser  Racer,2010-02-18,2010,2,New Star Games Ltd,Action;Indie;Racing,3.41,20000-50000,20000,84,0.869,True,False,False,True,False,44100,False
Sol Survivor,2010-03-15,2010,3,Cadenza Interactive,Indie;Strategy,8.2,50000-100000,50000,323,0.907,True,False,True,True,False,45000,False
Secret of the Magic Crystals,2010-02-03,2010,2,Artery Games,Casual;Indie,4.55,100000-200000,100000,1607,0.835,True,False,True,True,False,45100,False
Fortix,2010-04-14,2010,4,Nemesys Games,Indie,1.13,100000-200000,100000,871,0.921,True,False,True,True,False,45400,False
Land It!,2016-08-01,2016,8,Nemesys Games,Casual;Indie;Simulation,7.97,0-20000,0,11,0.909,True,False,False,False,True,45420,False
Fortix 2,2011-05-06,2011,5,Nemesys Games,Casual;Indie,1.81,100000-200000,100000,507,0.911,True,False,True,True,False,45450,False
Bob Came in Pieces,2010-01-22,2010,1,Ludosity,Adventure;Indie,4.55,50000-100000,50000,97,0.701,True,False,True,False,False,46000,False
Avencast: Rise of the Mage,2010-03-17,2010,3,ClockStone Studios,Action;Indie;RPG,7.97,200000-500000,200000,523,0.665,True,False,True,False,False,46410,False
Grotesque Tactics: Evil Heroes,2010-10-15,2010,10,Silent Dreams,Indie;RPG;Strategy,7.97,100000-200000,100000,357,0.608,True,False,True,False,False,46450,False
Wasteland Angel,2011-09-01,2011,9,Octane Games;Meridian4,Action;Indie,7.97,100000-200000,100000,286,0.584,True,False,True,False,False,46520,False
Grotesque Tactics 2 – Dungeons and Donuts,2011-11-21,2011,11,Silent Dreams,Adventure;Indie;RPG;Strategy,7.97,50000-100000,50000,190,0.542,True,True,True,False,False,46570,False
Swarm Arena,2010-08-19,2010,8,Dedication Games,Action;Casual;Indie,3.29,20000-50000,20000,52,0.769,True,False,False,False,False,46600,False
Dark Fall: Lost Souls,2010-04-21,2010,4,Darkling Room,Adventure;Indie,11.39,50000-100000,50000,172,0.634,True,False,True,False,False,46750,False
Making History II: The War of the World,2010-08-27,2010,8,Muzzy Lane Software,Indie;Simulation;Strategy,12.53,20000-50000,20000,252,0.774,True,False,False,False,False,46770,False
LIMBO,2011-08-02,2011,8,Playdead,Adventure;Indie,7.97,2000000-5000000,2000000,32315,0.938,True,False,True,True,False,48000,False
Beat Hazard,2010-04-15,2010,4,Cold Beam Games,Action;Casual;Indie,7.97,500000-1000000,500000,6624,0.95,True,False,True,True,False,49600,False
Flight of the Icarus,2010-05-12,2010,5,Muse Games,Action;Indie,4.55,50000-100000,50000,243,0.391,True,False,True,False,False,49800,False
CreaVures,2011-02-23,2011,2,Muse Games,Indie,4.55,50000-100000,50000,142,0.824,True,False,True,True,False,49810,False
Plain Sight,2010-04-05,2010,4,Beatnik Games,Action;Indie,4.55,100000-200000,100000,260,0.681,True,False,True,False,False,49900,False
Nimbus,2010-10-25,2010,10,Noumenon Games,Indie;Racing,6.83,50000-100000,50000,189,0.947,True,False,True,True,False,50000,False
Hidden Expedition: Amazon,2010-04-21,2010,4,Big Fish Games,Casual;Indie,7.97,0-20000,0,12,0.667,True,False,False,False,False,50920,False
Atlantis Sky Patrol,2010-04-21,2010,4,Big Fish Games,Casual;Indie,7.97,0-20000,0,7,0.857,True,False,False,False,False,51030,False
Flotilla,2010-04-01,2010,4,Blendo Games,Adventure;Indie;Strategy,7.97,100000-200000,100000,191,0.869,True,False,True,True,False,55000,False
Atom Zombie Smasher,2011-03-14,2011,3,Blendo Games,Indie;Strategy,7.97,200000-500000,200000,1577,0.886,True,False,True,True,False,55040,False
Puzzle Dimension,2010-06-21,2010,6,Doctor Entertainment AB,Casual;Indie,2.27,100000-200000,100000,453,0.909,True,False,True,True,False,57200,False
Amnesia: The Dark Descent,2010-09-08,2010,9,Frictional Games,Action;Adventure;Indie,17.09,2000000-5000000,2000000,21421,0.944,True,False,True,True,False,57300,False
Who's That Flying?!,2011-01-31,2011,1,Mediatonic,Action;Casual;Indie,4.55,20000-50000,20000,140,0.7,True,False,False,False,False,57700,False
Doc Clock: The Toasted Sandwich of Time,2010-10-15,2010,10,Stickmen Studios,Adventure;Casual;Indie,3.41,50000-100000,50000,171,0.462,True,False,True,False,False,57800,False
Jolly Rover,2010-06-07,2010,6,Brawsome,Adventure;Casual;Indie,7.97,100000-200000,100000,280,0.889,True,False,True,True,False,58200,False
MacGuffin's Curse,2012-04-19,2012,4,Brawsome,Adventure;Casual;Indie,7.97,20000-50000,20000,97,0.835,True,False,False,True,False,58230,False
Turba,2010-07-01,2010,7,Binary Takeover,Casual;Indie,3.98,50000-100000,50000,129,0.357,True,False,True,False,False,58400,False
Glowfish,2011-09-30,2011,9,MumboJumbo,Adventure;Casual;Indie,7.97,20000-50000,20000,91,0.879,True,False,False,True,False,60350,False
ProtoGalaxy,2010-10-06,2010,10,Source Studio Ltd.,Action;Indie,0.0,50000-100000,50000,52,0.577,True,False,True,False,False,60600,True
Power of Defense,2010-08-04,2010,8,4sdk,Strategy;Indie,7.97,0-20000,0,34,0.265,True,False,False,False,False,60700,False
Lucid,2011-07-19,2011,7,YeaBoing,Indie;Casual,5.69,50000-100000,50000,224,0.763,True,False,True,False,False,61100,False
Fractal: Make Blooms Not War,2011-11-29,2011,11,Cipher Prime Studios,Indie;Casual,5.69,100000-200000,100000,184,0.761,True,True,True,False,False,61310,False
Zen Bound 2,2010-11-16,2010,11,Secret Exit Ltd.,Indie;Casual,4.55,200000-500000,200000,497,0.869,True,True,True,True,False,61600,False
Critter Crunch,2012-09-11,2012,9,Capybara Games,Action;Indie;Casual,5.69,50000-100000,50000,270,0.948,True,False,True,True,False,61730,False
HOARD,2011-04-04,2011,4,Big Sandwich Games,Action;Casual;Indie;Strategy,7.97,200000-500000,200000,841,0.8,True,False,True,True,False,63000,False
Monday Night Combat,2011-01-24,2011,1,Uber Entertainment,Action;Strategy;Indie;Sports,4.55,200000-500000,200000,925,0.778,True,False,True,False,False,63200,False
Swords and Soldiers HD,2010-12-02,2010,12,Ronimo Games,Action;Casual;Indie;Strategy,7.97,100000-200000,100000,732,0.781,True,True,True,False,False,63500,False
BIT.TRIP BEAT,2010-11-02,2010,11,Gaijin Games,Action;Casual;Indie,7.97,200000-500000,200000,756,0.815,True,True,True,True,False,63700,False
BIT.TRIP RUNNER,2011-02-28,2011,2,Gaijin Games,Action;Indie,7.97,500000-1000000,500000,3548,0.862,True,False,True,True,False,63710,False
Delve Deeper,2010-09-24,2010,9,Lunar Giant,Adventure;Indie;RPG;Strategy,4.55,50000-100000,50000,384,0.586,True,False,True,False,False,63800,False
Archon Classic,2010-11-02,2010,11,React Games,Strategy;Indie,7.97,20000-50000,20000,104,0.837,True,True,False,True,False,65400,False
Dungeon Defenders,2011-10-18,2011,10,Trendy Entertainment,Action;Indie;RPG;Strategy,11.39,1000000-2000000,1000000,11625,0.92,True,False,True,True,False,65800,False
The Polynomial - Space of the music,2010-10-15,2010,10,Dmytry Lavrov,Action;Casual;Indie,5.69,100000-200000,100000,445,0.744,True,False,True,False,False,67000,False
Dino D-Day,2011-04-08,2011,4,800 North and Digital Ranch,Action;Indie,7.97,1000000-2000000,1000000,14589,0.838,True,False,True,True,False,70000,False
Hacker Evolution: Untold,2010-09-14,2010,9,exosyphen studios,Indie;Simulation,0.9,200000-500000,200000,340,0.565,True,False,True,False,False,70110,False
Hacker Evolution Duality,2011-08-15,2011,8,exosyphen studios,Indie,0.9,200000-500000,200000,474,0.371,True,False,True,False,False,70120,False
Governor of Poker 2 - Premium Edition,2010-10-11,2010,10,I Sioux Game Productions B.V.,Adventure;Casual;Indie;Simulation,17.09,20000-50000,20000,176,0.835,True,False,False,True,False,70210,False
VVVVVV,2010-09-07,2010,9,Terry Cavanagh,Action;Indie,4.55,1000000-2000000,1000000,6987,0.962,True,False,True,True,False,70300,False
Recettear: An Item Shop's Tale,2010-09-10,2010,9,EasyGameStation,RPG;Indie,14.81,200000-500000,200000,5230,0.965,True,False,True,True,False,70400,False
Chantelise - A Tale of Two Sisters,2011-07-29,2011,7,EasyGameStation,Action;RPG;Indie,7.4,100000-200000,100000,588,0.748,True,False,True,False,False,70420,False
Diamond Dan,2010-10-08,2010,10,Grendel Games,Action;Adventure;Casual;Indie,0.9,20000-50000,20000,44,0.75,True,False,False,False,False,70500,False
Star Ruler,2010-09-20,2010,9,Blind Mind Studios,Indie;Strategy,8.2,100000-200000,100000,273,0.839,True,False,True,True,False,70900,False
Evochron Mercenary,2012-01-16,2012,1,StarWraith 3D Games LLC,Action;Indie;Simulation,17.09,50000-100000,50000,407,0.791,True,False,True,False,False,71000,False
Closure,2012-09-07,2012,9,Eyebrow Interactive,Indie,7.97,200000-500000,200000,787,0.864,True,False,True,True,False,72000,False
Clones,2010-11-18,2010,11,Tomkorp Computer Solutions Inc.,Adventure;Indie,0.9,100000-200000,100000,325,0.754,True,True,True,False,False,72400,False
